Bug-abx,GNR,PsA,AmpC,ESBL,CRE,Others,MSSA,MRSA,SOSA,Strep,VRE,VSE,anaerobes,PNA,Zoo
AMP,,,,,,,,,,,,,,,
NAF,,,,,,,,,,,,,,,
Unasyn,,,,,,,,,,,,,,,
Augmentin,,,,,,,,,,,,,,,
Zosyn,,,,,,,,,,,,,,,
CFZ,some,bad,bad,,,,good,bad,some,good,bad,bad,,,
FOX,some,bad,bad,,,,some,bad,bad,some,bad,bad,some,,
CRO,good,bad,bad,bad,bad,,some,bad,,some,bad,bad,,,
FEP,good,good,some,bad,bad,,good,bad,,good,bad,bad,,,
CPT,some,bad,bad,,,,good,good,good,good,bad,bad,,,
VAN,,,,,,,broad,good,good,good,bad,good,,,
LZD,,,,,,,broad,good,good,good,good,broad,,,
DAP,,,,,,,broad,good,good,some,good,broad,,,
MEM,,,,,,,,,,,,,,,
ETP,,,,,,,,,,,,,,,
DOX,,,,,,,,,,,,,,,good
MIN,,,,,,,,,,,,,,,
TGC,,,,,,,,,,,,,,,
MTZ,,,,,,,,,,,,,,,
CLI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
