Bug-abx,GNR,PsA,AmpC,ESBL,CRE,Steno,CRAB,DTR,MSSA,MRSA,SOSA,Strep,VRE,VSE,anaerobes,Other,PNA,Zoo
NAF,,,,,,bad,,,good,bad,some,good,,,,,,
AMP,,,bad,,,bad,,,some,bad,some,good,some,some,,note,,
Unasyn,some,,bad,,,bad,note,,some,bad,some,good,some,some,good,,,
Augmentin,some,,bad,,,bad,,,some,bad,some,good,some,some,good,,,
Zosyn,good,good,bad,,,bad,,,some,bad,some,good,some,some,good,,,
CFZ,some,,bad,,,bad,,,good,bad,some,good,bad,bad,,,,
FOX,some,,bad,,,bad,,,some,bad,bad,some,bad,bad,some,,,
CRO,good,bad,bad,bad,bad,bad,,,some,bad,,some,bad,bad,,note,,
FEP,good,good,some,bad,bad,bad,,,good,bad,,good,bad,bad,,,,
CPT,some,bad,bad,,,bad,,,good,good,good,good,bad,bad,,,,
VAN,,,,,,,,,broad,good,good,broad,bad,good,,,,
LZD,,,,,,,,,broad,good,good,broad,good,broad,,,,
DAP,,,,,,,,,broad,good,good,broad,good,broad,,,,
MEM,broad,good,good,good,bad,bad,some,some,good,bad,,good,,,good,,,
ETP,broad,bad,good,good,bad,bad,bad,,good,bad,,good,,,good,,,
DOX,some,,,,,some,some,,good,good,some,some,,,,,good,good
MIN,some,,,,,good,some,,good,good,some,some,,,,,good,some
TGC,broad,bad,good,good,good,some,some,,broad,broad,broad,broad,,,some,,broad,broad
MTZ,,,,,,,,,,,,,,,good,,,
CLI,,,,,,,,,some,some,some,some,,,good,,,
ATM,good,good,bad,,,note,,,,,,,,,,,,
Aminogly,good,good,good,some,some,bad,,,note,note,note,note,note,note,,,,
AZM,,,,,,,,,,,,,,,,,good,
Quino,good,some,good,some,,some,some,,some,,,some,,,some,note,good,
TMPSMX,good,,good,some,,good,some,,good,good,good,,,,,note,,
NIT,good,,,some,some,bad,,,,,,,good,good,,,,
FOF,good,some,some,some,some,bad,,,,,,,some,some,,bad,,
Vabomere,,,,,,,,,,,,,,,,,,
Recarbrio,,,,,,,,,,,,,,,,,,
Zerbaxa,,,,,,,,,,,,,,,,,,
Avycaz,,,,,,note,,,,,,,,,,,,
Cefiderocol,,,,,,some,some,,,,,,,,,,,
Eravacycline,,,,,,some,,,,,,,,,,,,
Xacduro,,,,,,,good,,,,,,,,,,,
